"","Track","Channel","Start hRf","End hRf","hRf","Height","Area","Start","End","Max"
"2",1,1,17,24,21,0.201073120071982,2.75213976544923,823,784,800
"3",1,1,3,8,6,0.080895744205252,0.71552817125852,892,867,879
"4",1,1,0,3,2,0.0219717571810987,0.106357333296222,908,892,901
"6",2,1,52,55,53,0.0128476809982833,0.140767992041403,642,625,635
"7",2,1,48,52,51,0.0123586002113063,0.112099280154673,660,642,648
"8",2,1,33,37,35,0.0167913989728425,0.252793252689977,739,716,726
"9",2,1,17,24,21,0.351984225206714,5.10653427122615,821,785,801
"10",2,1,3,8,6,0.155045710200017,1.43663385235425,892,866,879
"11",2,1,0,3,1,0.057735656128814,0.431005613495447,911,892,902
"14",3,1,48,54,51,0.0161030282918115,0.229359441757309,659,631,647
"15",3,1,27,37,35,0.022449971947134,0.350263639129651,772,716,728
"16",3,1,17,24,21,0.451609846878457,6.82910037128819,823,783,802
"17",3,1,3,8,6,0.223183355888934,2.09116079121221,892,867,879
"18",3,1,-2,3,1,0.0720513897633796,0.713821752473352,919,892,902
"20",4,1,26,38,35,0.0263890823265612,0.443839054279506,774,715,728
"21",4,1,17,24,21,0.500058723439137,7.88794756177034,822,784,802
"22",4,1,3,8,6,0.263785448742832,2.58482896175097,892,867,879
"23",4,1,-2,3,2,0.100624375210472,1.00315058078283,919,892,901
"25",5,1,26,40,35,0.0345003640454496,0.590414004981874,774,705,728
"26",5,1,17,24,21,0.539975140515084,8.81765362726552,822,783,802
"27",5,1,3,8,6,0.304912620296619,3.08807678175741,892,867,879
"28",5,1,-2,3,2,0.140770651660589,1.45808240585692,919,892,901
"30",6,1,51,54,53,0.0100142703948534,0.108429183069814,644,630,637
"31",6,1,48,51,50,0.0107576170825902,0.110591567125571,659,644,649
"32",6,1,17,24,21,0.499819819658342,7.89244811971827,822,784,802
"33",6,1,4,8,6,0.266802080514772,2.65949236223016,891,867,879
"34",6,1,-2,4,2,0.0977924977093655,0.974474814316993,918,891,901
"38",7,1,24,39,35,0.0305778652560248,0.44313877731317,783,706,726
"39",7,1,17,24,21,0.501032637140704,7.94152800963337,821,783,801
"40",7,1,4,8,6,0.27319648614828,2.67093683314137,890,866,878
"41",7,1,-2,4,2,0.0937077485179644,0.978717117527778,918,890,900
"44",8,1,52,56,53,0.0119721038274408,0.142299464279347,640,621,633
"45",8,1,17,25,22,0.475538469914241,7.97416224726009,820,781,798
"46",8,1,4,9,6,0.264916325347078,2.69321021461052,890,865,877
"47",8,1,-1,4,2,0.093763678031747,0.957652497273027,917,890,899
"50",1,2,31,40,36,0.0352769440756612,0.654177233658988,747,701,725
"51",1,2,19,24,21,0.131883788999939,1.7287870497708,813,784,800
"52",1,2,12,19,16,0.143228438981682,1.9837310572584,848,813,827
"53",1,2,4,8,6,0.0765299659811078,0.638442280808175,890,867,879
"54",1,2,-2,4,1,0.0717816171620153,0.68200046769343,919,890,902
"57",2,2,49,54,51,0.012465478639318,0.143823421299706,654,630,643
"58",2,2,31,40,35,0.0672097712806054,1.22895463064473,751,703,727
"59",2,2,18,24,21,0.24595963885399,3.32133121134219,815,785,801
"60",2,2,12,18,16,0.214095796587237,3.00991912986824,847,815,829
"61",2,2,4,8,6,0.137732890183215,1.20956412252746,891,867,879
"62",2,2,-2,4,2,0.140744762249384,1.38567901491989,919,891,901
"65",3,2,47,55,52,0.022640799777072,0.31587070646734,664,625,642
"66",3,2,30,40,35,0.0998274051926807,1.88102036238638,755,702,728
"67",3,2,18,24,21,0.330746927445577,4.6542685306586,816,785,802
"68",3,2,12,18,15,0.266720856221324,3.72081978085246,850,816,830
"69",3,2,4,8,6,0.190475696497749,1.72764427905584,891,867,879
"70",3,2,-2,4,2,0.202005810887013,1.98956132181861,919,891,901
"73",4,2,47,55,51,0.0364714860984335,0.539166131404072,666,626,644
"74",4,2,26,42,35,0.122369378016966,2.14284520067472,777,693,728
"75",4,2,18,24,21,0.379043305217323,5.48005423029496,817,786,802
"76",4,2,12,18,15,0.291335807510107,4.16300298256072,850,817,831
